x,y,z,id,u,v,phi
0.005,0.0002,0,0,0.30048933667478,0.52198956951276,0.4950777151301
0.005,0.00019999998039216,0,1.9607843126934e-11,0.29440564859684,0.44442305372533,0.49146215398588
0.005,0.00019999996078431,0,3.9215686280973e-11,0.28841040431078,0.37826345735164,0.48169421524956
0.005,0.00019999994117647,0,5.8823529407908e-11,0.28250263823056,0.3215906611247,0.46742074812122
0.005,0.00019999992156863,0,7.8431372561947e-11,0.27665613150061,0.27107094998752,0.45040683844984
0.005,0.00019999990196078,0,9.8039215688881e-11,0.27097075010088,0.2328518208741,0.4291597044425
0.005,0.00019999988235294,0,1.1764705881582e-10,0.26530481757992,0.19611745265084,0.40740159247335
0.005,0.0001999998627451,0,1.3725490196985e-10,0.25979103881125,0.16690780873064,0.38434494580772
0.005,0.00019999984313725,0,1.5686274509679e-10,0.25442939505772,0.14522196180066,0.35998992454878
0.005,0.00019999982352941,0,1.7647058822372e-10,0.24906775131162,0.12353611490067,0.33563490332352
0.005,0.00019999980392157,0,1.9607843137776e-10,0.24370610754327,0.10185026791074,0.31127988199726
0.005,0.00019999978431373,0,2.156862745047e-10,0.23877164014502,0.091004706296596,0.28853456987116
0.005,0.00019999976470588,0,2.3529411765874e-10,0.23393118113847,0.082544759006148,0.26614350524953
0.005,0.00019999974509804,0,2.5490196078567e-10,0.22909072216538,0.074084811774174,0.24375244078267
0.005,0.0001999997254902,0,2.745098039126e-10,0.22425026317891,0.065624864518811,0.2213613762539
0.005,0.00019999970588235,0,2.9411764706664e-10,0.21940980418574,0.057164917251753,0.19897031169418
0.005,0.00019999968627451,0,3.1372549019358e-10,0.21470431799379,0.049917281500056,0.1777256245756
0.005,0.00019999966666667,0,3.3333333332051e-10,0.21072102718605,0.049156329047784,0.16261482893544
0.005,0.00019999964705882,0,3.5294117647455e-10,0.2067377363673,0.048395376593408,0.14750403325349
0.005,0.00019999962745098,0,3.7254901960149e-10,0.20275444556507,0.047634424142188,0.13239323763421
0.005,0.00019999960784314,0,3.9215686275552e-10,0.19877115474632,0.046873471687812,0.11728244195227
0.005,0.00019999958823529,0,4.1176470588246e-10,0.19478786394409,0.046112519236591,0.10217164633299
0.005,0.00019999956862745,0,4.3137254900939e-10,0.19080457313084,0.045351566783267,0.087060850671937
0.005,0.00019999954901961,0,4.5098039216343e-10,0.18682128231759,0.044590614329943,0.071950055010882
0.005,0.00019999952941176,0,4.7058823529037e-10,0.18283799150985,0.043829661877671,0.056839259370715
0.005,0.00019999950980392,0,4.9019607844441e-10,0.17940401738742,0.043810724177756,0.045863340056697
0.005,0.00019999949019608,0,5.0980392157134e-10,0.17665115002822,0.044711822712685,0.040014321617214
0.005,0.00019999947058824,0,5.2941176469827e-10,0.17389828266141,0.045612921250105,0.034165303161559
0.005,0.00019999945098039,0,5.4901960785231e-10,0.1711454152946,0.046514019787525,0.028316284705905
0.005,0.00019999943137255,0,5.6862745097925e-10,0.1683925479316,0.047415118323699,0.022467266258336
0.005,0.00019999941176471,0,5.8823529410618e-10,0.1656396805724,0.048316216858628,0.016618247818852
0.005,0.00019999939215686,0,6.0784313726022e-10,0.16288681320179,0.049217315397294,0.010769229355112
0.005,0.00019999937254902,0,6.2745098038716e-10,0.16013394583878,0.050118413933468,0.0049202109075434
0.005,0.00019999935294118,0,6.4705882354119e-10,0.15738107847578,0.051019512469642,-0.00092880754002565
0.005,0.00019999933333333,0,6.6666666666813e-10,0.15462821111278,0.051920611005817,-0.0067778259875947
0.005,0.00019999931372549,0,6.8627450979506e-10,0.15187534374977,0.052821709541991,-0.012626844435164
0.005,0.00019999929411765,0,7.058823529491e-10,0.14912247637916,0.053722808080657,-0.018475862898904
0.005,0.0001999992745098,0,7.2549019607604e-10,0.14636960901615,0.054623906616831,-0.024324881346473
0.005,0.00019999925490196,0,7.4509803920297e-10,0.14367774802922,0.055489846670539,-0.029915966619173
0.005,0.00019999923529412,0,7.6470588235701e-10,0.14228424782567,0.055607530594692,-0.030017620449668
0.005,0.00019999921568627,0,7.8431372548394e-10,0.1408907476202,0.055725214519008,-0.030119274280304
0.005,0.00019999919607843,0,8.0392156863798e-10,0.13949724741472,0.055842898443324,-0.03022092811094
0.005,0.00019999917647059,0,8.2352941176492e-10,0.13810374721502,0.055960582367152,-0.030322581941154
0.005,0.00019999915686275,0,8.4313725489185e-10,0.13671024700762,0.05607826629163,-0.03042423577193
0.005,0.0001999991372549,0,8.6274509804589e-10,0.13531674680407,0.056195950215784,-0.030525889602425
0.005,0.00019999911764706,0,8.8235294117282e-10,0.13392324660052,0.056313634139937,-0.03062754343292
0.005,0.00019999909803922,0,9.0196078429976e-10,0.13252974639697,0.05643131806409,-0.030729197263415
0.005,0.00019999907843137,0,9.215686274538e-10,0.13113624618957,0.056549001988569,-0.030830851094192
0.005,0.00019999905882353,0,9.4117647058073e-10,0.12974274598601,0.056666685912722,-0.030932504924687
0.005,0.00019999903921569,0,9.6078431373477e-10,0.12834924578054,0.056784369837038,-0.031034158755323
0.005,0.00019999901960784,0,9.8039215686171e-10,0.12695574557699,0.056902053761191,-0.031135812585818
0.005,0.000199999,0,9.9999999998864e-10,0.12556224537536,0.057019737685182,-0.031237466416172
0.005,0.00019999898039216,0,1.0196078431427e-09,0.12416874516796,0.05713742160966,-0.031339120246949
0.005,0.00019999896078431,0,1.0392156862696e-09,0.12277524496441,0.057255105533813,-0.031440774077444
0.005,0.00019999894117647,0,1.0588235294237e-09,0.12138174476086,0.057372789457967,-0.031542427907939
0.005,0.00019999892156863,0,1.0784313725506e-09,0.11998824455731,0.05749047338212,-0.031644081738434
0.005,0.00019999890196078,0,1.0980392156775e-09,0.11859474435376,0.057608157306273,-0.031745735568929
0.005,0.00019999888235294,0,1.1176470588316e-09,0.11720124414636,0.057725841230752,-0.031847389399705
0.005,0.0001999988627451,0,1.1372549019585e-09,0.11580774394281,0.057843525154905,-0.031949043230201
0.005,0.00019999884313725,0,1.1568627450854e-09,0.1148337897794,0.057831891911102,-0.031680295701955
0.005,0.00019999882352941,0,1.1764705882395e-09,0.11442264077929,0.057646784571378,-0.030914668742362
0.005,0.00019999880392157,0,1.1960784313664e-09,0.11401149178032,0.057461677232166,-0.030149041784886
0.005,0.00019999878431373,0,1.2156862745204e-09,0.11360034277964,0.057276569892187,-0.029383414824235
0.005,0.00019999876470588,0,1.2352941176474e-09,0.1131891937801,0.057091462552719,-0.0286177878657
0.005,0.00019999874509804,0,1.2549019607743e-09,0.11277804478113,0.056906355213507,-0.027852160908224
0.005,0.0001999987254902,0,1.2745098039283e-09,0.11236689578102,0.056721247873784,-0.027086533948632
0.005,0.00019999870588235,0,1.2941176470553e-09,0.11195574678148,0.056536140534316,-0.026320906990097
0.005,0.00019999868627451,0,1.3137254901822e-09,0.11154459778194,0.056351033194848,-0.025555280031563
0.005,0.00019999866666667,0,1.3333333333363e-09,0.11113344878127,0.056165925854869,-0.024789653070911
0.005,0.00019999864705882,0,1.3529411764632e-09,0.11072229978173,0.055980818515401,-0.024024026112377
0.005,0.00019999862745098,0,1.3725490196172e-09,0.11031115078162,0.055795711175677,-0.023258399152784
0.005,0.00019999860784314,0,1.3921568627442e-09,0.10990000178265,0.055610603836465,-0.022492772195308
0.005,0.00019999858823529,0,1.4117647058711e-09,0.10948885278311,0.055425496496998,-0.021727145236774
0.005,0.00019999856862745,0,1.4313725490251e-09,0.109077703783,0.055240389157274,-0.020961518277181
0.005,0.00019999854901961,0,1.4509803921521e-09,0.10866655478289,0.05505528181755,-0.020195891317588
0.005,0.00019999852941176,0,1.4705882353061e-09,0.10825540578335,0.054870174478083,-0.019430264359054
0.005,0.00019999850980392,0,1.490196078433e-09,0.10784425678381,0.054685067138615,-0.018664637400519
0.005,0.00019999849019608,0,1.50980392156e-09,0.10743310778427,0.054499959799147,-0.017899010441985
0.005,0.00019999847058824,0,1.529411764714e-09,0.1070219587836,0.054314852459168,-0.017133383481333
0.005,0.00019999845098039,0,1.549019607841e-09,0.10661080978463,0.054129745119956,-0.016367756523857
0.005,0.00019999843137255,0,1.5686274509679e-09,0.10619966078452,0.053944637780232,-0.015602129564265
0.005,0.00019999841176471,0,1.5882352941219e-09,0.10578851178498,0.053759530440764,-0.01483650260573
0.005,0.00019999839215686,0,1.6078431372489e-09,0.10537736278544,0.053574423101297,-0.014070875647196
0.005,0.00019999837254902,0,1.6274509804029e-09,0.10496621378533,0.053389315761573,-0.013305248687603
0.005,0.00019999835294118,0,1.6470588235298e-09,0.10455506478579,0.053204208422105,-0.012539621729068
0.005,0.00019999833333333,0,1.6666666666568e-09,0.10414391578625,0.053019101082637,-0.011773994770534
0.005,0.00019999831372549,0,1.6862745098108e-09,0.10373276678558,0.052833993742658,-0.011008367809883
0.005,0.00019999829411765,0,1.7058823529377e-09,0.10332161778661,0.052648886403446,-0.010242740852407
0.005,0.0001999982745098,0,1.7254901960647e-09,0.10291046878763,0.052463779064234,-0.0094771138949305
0.005,0.00019999825490196,0,1.7450980392187e-09,0.10249931978639,0.052278671723999,-0.008711486933221
0.005,0.00019999823529412,0,1.7647058823456e-09,0.10208817078742,0.052093564384787,-0.0079458599757449
0.005,0.00019999821568627,0,1.7843137254997e-09,0.10193693233831,0.052008509696995,-0.0076077195636692
0.005,0.00019999819607843,0,1.8039215686266e-09,0.10189320053019,0.051964839725978,-0.0074464001488258
0.005,0.00019999817647059,0,1.8235294117536e-09,0.101849468722,0.051921169754901,-0.0072850807337594
0.005,0.00019999815686275,0,1.8431372549076e-09,0.10180573691381,0.051877499783823,-0.0071237613186931
0.005,0.0001999981372549,0,1.8627450980345e-09,0.10176200510568,0.051833829812806,-0.0069624419038497
0.005,0.00019999811764706,0,1.8823529411886e-09,0.10171827329756,0.051790159841789,-0.0068011224890063
0.005,0.00019999809803922,0,1.9019607843155e-09,0.10167454148937,0.051746489870711,-0.0066398030739399
0.005,0.00019999807843137,0,1.9215686274424e-09,0.10163080968124,0.051702819899694,-0.0064784836590965
0.005,0.00019999805882353,0,1.9411764705965e-09,0.10158707787305,0.051659149928617,-0.0063171642440302
0.005,0.00019999803921569,0,1.9607843137234e-09,0.10154334606493,0.0516154799576,-0.0061558448291868
0.005,0.00019999801960784,0,1.9803921568503e-09,0.1014996142568,0.051571809986582,-0.0059945254143434
0.005,0.000199998,0,2.0000000000044e-09,0.10145588244867,0.051528140015565,-0.0058332059995
0.005,0.00019999798039216,0,2.0196078431313e-09,0.10141215064054,0.051484470044548,-0.0056718865846566
0.005,0.00019999796078431,0,2.0392156862854e-09,0.1013684188323,0.05144080007341,-0.0055105671693673
0.005,0.00019999794117647,0,2.0588235294123e-09,0.10132468702423,0.051397130102453,-0.0053492477547469
0.005,0.00019999792156863,0,2.0784313725392e-09,0.10128095521604,0.051353460131376,-0.0051879283396805
0.005,0.00019999790196078,0,2.0980392156933e-09,0.10123722340791,0.051309790160359,-0.0050266089248371
0.005,0.00019999788235294,0,2.1176470588202e-09,0.10119349159973,0.051266120189281,-0.0048652895097707
0.005,0.0001999978627451,0,2.1372549019471e-09,0.1011497597916,0.051222450218264,-0.0047039700949274
0.005,0.00019999784313725,0,2.1568627451012e-09,0.10110602798347,0.051178780247247,-0.004542650680084
0.005,0.00019999782352941,0,2.1764705882281e-09,0.10106229617528,0.051135110276169,-0.0043813312650176
0.005,0.00019999780392157,0,2.1960784313821e-09,0.10101856436716,0.051091440305152,-0.0042200118501742
0.005,0.00019999778431373,0,2.2156862745091e-09,0.10097483255903,0.051047770334135,-0.0040586924353309
0.005,0.00019999776470588,0,2.235294117636e-09,0.1009311007509,0.051004100363118,-0.0038973730204875
0.005,0.00019999774509804,0,2.2549019607901e-09,0.10088736894265,0.05096043039198,-0.0037360536051981
0.005,0.0001999977254902,0,2.274509803917e-09,0.10084363713453,0.050916760420963,-0.0035747341903547
0.005,0.00019999770588235,0,2.294117647071e-09,0.10079990532634,0.050873090449885,-0.0034134147752883
0.005,0.00019999768627451,0,2.313725490198e-09,0.10075617351827,0.050829420478928,-0.003252095360668
0.005,0.00019999766666667,0,2.3333333333249e-09,0.10071244171008,0.050785750507851,-0.0030907759456016
0.005,0.00019999764705882,0,2.3529411764789e-09,0.1006687099019,0.050742080536773,-0.0029294565305352
0.005,0.00019999762745098,0,2.3725490196059e-09,0.10062497809383,0.050698410565817,-0.0027681371159148
0.005,0.00019999760784314,0,2.3921568627328e-09,0.10058124628564,0.050654740594739,-0.0026068177008484
0.005,0.00019999758823529,0,2.4117647058868e-09,0.10053751447746,0.050611070623662,-0.0024454982857821
0.005,0.00019999756862745,0,2.4313725490138e-09,0.10049378266933,0.050567400652644,-0.0022841788709387
0.005,0.00019999754901961,0,2.4509803921678e-09,0.1004500508612,0.050523730681627,-0.0021228594560953
0.005,0.00019999752941176,0,2.4705882352948e-09,0.10040631905301,0.05048006071055,-0.0019615400410289
0.005,0.00019999750980392,0,2.4901960784217e-09,0.10036258724489,0.050436390739533,-0.0018002206261856
0.005,0.00019999749019608,0,2.5098039215757e-09,0.10031885543676,0.050392720768515,-0.0016389012113422
0.005,0.00019999747058824,0,2.5294117647027e-09,0.10027512362869,0.050349050797559,-0.0014775817967218
0.005,0.00019999745098039,0,2.5490196078296e-09,0.10023139182044,0.050305380826421,-0.0013162623814324
0.005,0.00019999743137255,0,2.5686274509836e-09,0.10018766001232,0.050261710855404,-0.001154942966589
0.005,0.00019999741176471,0,2.5882352941106e-09,0.10014392820419,0.050218040884386,-0.00099362355174566
0.005,0.00019999739215686,0,2.6078431372646e-09,0.10010019639594,0.050174370913249,-0.00083230413645628
0.005,0.00019999737254902,0,2.6274509803915e-09,0.10005646458781,0.050130700942231,-0.0006709847216129
0.005,0.00019999735294118,0,2.6470588235185e-09,0.10001273277975,0.050087030971275,-0.00050966530699253
0.005,0.00019999733333333,0,2.6666666666725e-09,0.099969000971559,0.050043361000197,-0.00034834589192615
0.005,0.00019999731372549,0,2.6862745097994e-09,0.099925269163311,0.049999691029059,-0.00018702647663677
0.005,0.00019999729411765,0,2.7058823529264e-09,0.099881537355305,0.049956021058163,-2.5707062239389e-05
0.005,0.0001999972745098,0,2.7254901960804e-09,0.099837805547117,0.049912351087085,0.00013561235282699
0.005,0.00019999725490196,0,2.7450980392074e-09,0.099834676650946,0.049908879234981,0.00014846231609649
0.005,0.00019999723529412,0,2.7647058823614e-09,0.099835667405358,0.049909485962369,0.00014624827943934
0.005,0.00019999721568627,0,2.7843137254883e-09,0.09983665815977,0.049910092689757,0.00014403424278219
0.005,0.00019999719607843,0,2.8039215686153e-09,0.099837648914183,0.049910699417145,0.00014182020612198
0.005,0.00019999717647059,0,2.8235294117693e-09,0.099838639668595,0.049911306144533,0.00013960616946483
0.005,0.00019999715686275,0,2.8431372548962e-09,0.099839630423008,0.049911912871922,0.00013739213280462
0.005,0.0001999971372549,0,2.8627450980503e-09,0.09984062117742,0.049912519599309,0.00013517809614747
0.005,0.00019999711764706,0,2.8823529411772e-09,0.099841611931832,0.049913126326697,0.00013296405949032
0.005,0.00019999709803922,0,2.9019607843041e-09,0.099842602686245,0.049913733054086,0.00013075002283011
0.005,0.00019999707843137,0,2.9215686274582e-09,0.099843593440658,0.049914339781474,0.0001285359861699
0.005,0.00019999705882353,0,2.9411764705851e-09,0.09984458419507,0.049914946508862,0.00012632194951275
0.005,0.00019999703921569,0,2.9607843137121e-09,0.09984557494948,0.049915553236249,0.00012410791285866
0.005,0.00019999701960784,0,2.9803921568661e-09,0.099846565703895,0.049916159963638,0.00012189387619539
0.005,0.000199997,0,2.999999999993e-09,0.099847556458305,0.049916766691025,0.0001196798395413
0.005,0.00019999698039216,0,3.0196078431471e-09,0.099848547212718,0.049917373418414,0.00011746580288109
0.005,0.00019999696078431,0,3.039215686274e-09,0.099849537967132,0.049917980145802,0.00011525176622088
0.005,0.00019999694117647,0,3.0588235294009e-09,0.099850528721543,0.04991858687319,0.00011303772956373
0.005,0.00019999692156863,0,3.078431372555e-09,0.099851519475955,0.049919193600578,0.00011082369290658
0.005,0.00019999690196078,0,3.0980392156819e-09,0.099852510230368,0.049919800327967,0.00010860965624637
0.005,0.00019999688235294,0,3.1176470588088e-09,0.09985350098478,0.049920407055354,0.00010639561958922
0.005,0.0001999968627451,0,3.1372549019629e-09,0.099854491739193,0.049921013782743,0.00010418158292901
0.005,0.00019999684313725,0,3.1568627450898e-09,0.099855482493605,0.049921620510131,0.00010196754627186
0.005,0.00019999682352941,0,3.1764705882439e-09,0.099856473248018,0.049922227237519,9.9753509611652e-05
0.005,0.00019999680392157,0,3.1960784313708e-09,0.099857464002429,0.049922833964906,9.7539472957563e-05
0.005,0.00019999678431373,0,3.2156862744977e-09,0.099858454756841,0.049923440692294,9.5325436300413e-05
0.005,0.00019999676470588,0,3.2352941176518e-09,0.099859445511255,0.049924047419683,9.3111399637142e-05
0.005,0.00019999674509804,0,3.2549019607787e-09,0.099860436265667,0.049924654147071,9.0897362979993e-05
0.005,0.0001999967254902,0,3.2745098039327e-09,0.09986142702008,0.04992526087446,8.8683326319783e-05
0.005,0.00019999670588235,0,3.2941176470597e-09,0.099862417774492,0.049925867601847,8.6469289662633e-05
0.005,0.00019999668627451,0,3.3137254901866e-09,0.099863408528902,0.049926474329234,8.4255253008544e-05
0.005,0.00019999666666667,0,3.3333333333406e-09,0.099864399283317,0.049927081056624,8.2041216345273e-05
0.005,0.00019999664705882,0,3.3529411764676e-09,0.099865390037727,0.049927687784011,7.9827179691184e-05
0.005,0.00019999662745098,0,3.3725490195945e-09,0.09986638079214,0.049928294511399,7.7613143030974e-05
0.005,0.00019999660784314,0,3.3921568627486e-09,0.099867371546552,0.049928901238787,7.5399106373825e-05
0.005,0.00019999658823529,0,3.4117647058755e-09,0.099868362300964,0.049929507966175,7.3185069716675e-05
0.005,0.00019999656862745,0,3.4313725490295e-09,0.099869353055379,0.049930114693564,7.0971033053404e-05
0.005,0.00019999654901961,0,3.4509803921565e-09,0.09987034380979,0.049930721420952,6.8756996396255e-05
0.005,0.00019999652941176,0,3.4705882352834e-09,0.099871334564202,0.04993132814834,6.6542959739105e-05
0.005,0.00019999650980392,0,3.4901960784374e-09,0.099872325318615,0.049931934875728,6.4328923078895e-05
0.005,0.00019999649019608,0,3.5098039215644e-09,0.099873316073029,0.049932541603117,6.2114886418685e-05
0.005,0.00019999647058824,0,3.5294117646913e-09,0.099874306827438,0.049933148330503,5.9900849767657e-05
0.005,0.00019999645098039,0,3.5490196078453e-09,0.099875297581852,0.049933755057892,5.7686813104386e-05
0.005,0.00019999643137255,0,3.5686274509723e-09,0.099876288336264,0.04993436178528,5.5472776447236e-05
0.005,0.00019999641176471,0,3.5882352941263e-09,0.099877279090676,0.049934968512668,5.3258739790087e-05
