time,pp,pp2
0.001,-3.9347073389949e-27,-1.9673536694975e-27
0.002,1.0441582771912e-13,5.2207913897698e-14
0.003,1.2657029294384e-13,6.3285146487977e-14
0.004,1.26627898782e-13,6.3313949391055e-14
0.001,1.2662789878173e-13,6.331394939089e-14
0.002,1.2661221925741e-13,6.3306109628574e-14
0.003,1.2661705384848e-13,6.3308526924233e-14
